time_iso8601,forks_cumulative
2019-06-15 00:00:00+00:00,414
2019-06-16 00:00:00+00:00,415
2019-06-20 00:00:00+00:00,416
2019-06-21 00:00:00+00:00,417
2019-06-22 00:00:00+00:00,418
2019-06-24 00:00:00+00:00,419
2019-06-25 00:00:00+00:00,420
2019-06-26 00:00:00+00:00,421
2019-06-27 00:00:00+00:00,422
2019-07-01 00:00:00+00:00,423
2019-07-02 00:00:00+00:00,425
2019-07-04 00:00:00+00:00,426
2019-07-07 00:00:00+00:00,428
2019-07-10 00:00:00+00:00,429
2019-07-11 00:00:00+00:00,432
2019-07-22 00:00:00+00:00,435
2019-07-23 00:00:00+00:00,436
2019-07-27 00:00:00+00:00,437
2019-07-29 00:00:00+00:00,438
2019-07-30 00:00:00+00:00,439
2019-07-31 00:00:00+00:00,440
2019-08-01 00:00:00+00:00,443
2019-08-03 00:00:00+00:00,445
2019-08-05 00:00:00+00:00,446
2019-08-06 00:00:00+00:00,447
2019-08-12 00:00:00+00:00,450
2019-08-14 00:00:00+00:00,451
2019-08-15 00:00:00+00:00,452
2019-08-16 00:00:00+00:00,453
2019-08-18 00:00:00+00:00,454
2019-08-19 00:00:00+00:00,455
2019-08-20 00:00:00+00:00,456
2019-08-21 00:00:00+00:00,458
2019-08-27 00:00:00+00:00,460
2019-08-28 00:00:00+00:00,461
2019-08-30 00:00:00+00:00,462
2019-09-02 00:00:00+00:00,464
2019-09-05 00:00:00+00:00,465
2019-09-06 00:00:00+00:00,469
2019-09-07 00:00:00+00:00,470
2019-09-13 00:00:00+00:00,471
2019-09-18 00:00:00+00:00,472
2019-09-19 00:00:00+00:00,473
2019-09-20 00:00:00+00:00,474
2019-09-24 00:00:00+00:00,475
2019-09-27 00:00:00+00:00,476
2019-09-29 00:00:00+00:00,477
2019-09-30 00:00:00+00:00,478
2019-10-01 00:00:00+00:00,479
2019-10-03 00:00:00+00:00,480
2019-10-04 00:00:00+00:00,481
2019-10-06 00:00:00+00:00,482
2019-10-07 00:00:00+00:00,483
2019-10-08 00:00:00+00:00,484
2019-10-10 00:00:00+00:00,485
2019-10-12 00:00:00+00:00,486
2019-10-13 00:00:00+00:00,488
2019-10-15 00:00:00+00:00,490
2019-10-17 00:00:00+00:00,491
2019-10-19 00:00:00+00:00,492
2019-10-20 00:00:00+00:00,493
2019-10-22 00:00:00+00:00,494
2019-10-23 00:00:00+00:00,496
2019-10-25 00:00:00+00:00,498
2019-10-27 00:00:00+00:00,500
2019-10-28 00:00:00+00:00,501
2019-10-30 00:00:00+00:00,503
2019-10-31 00:00:00+00:00,504
2019-11-05 00:00:00+00:00,506
2019-11-06 00:00:00+00:00,507
2019-11-07 00:00:00+00:00,508
2019-11-08 00:00:00+00:00,509
2019-11-09 00:00:00+00:00,510
2019-11-12 00:00:00+00:00,511
2019-11-13 00:00:00+00:00,512
2019-11-16 00:00:00+00:00,513
2019-11-17 00:00:00+00:00,514
2019-11-18 00:00:00+00:00,515
2019-11-20 00:00:00+00:00,517
2019-11-21 00:00:00+00:00,519
2019-11-23 00:00:00+00:00,520
2019-12-02 00:00:00+00:00,521
2019-12-04 00:00:00+00:00,522
2019-12-07 00:00:00+00:00,523
2019-12-12 00:00:00+00:00,525
2019-12-13 00:00:00+00:00,527
2019-12-14 00:00:00+00:00,528
2019-12-19 00:00:00+00:00,529
2019-12-21 00:00:00+00:00,531
2019-12-22 00:00:00+00:00,532
2019-12-23 00:00:00+00:00,534
2019-12-24 00:00:00+00:00,535
2019-12-29 00:00:00+00:00,537
2019-12-30 00:00:00+00:00,538
2020-01-01 00:00:00+00:00,539
2020-01-04 00:00:00+00:00,540
2020-01-06 00:00:00+00:00,541
2020-01-07 00:00:00+00:00,542
2020-01-10 00:00:00+00:00,543
2020-01-13 00:00:00+00:00,544
2020-01-15 00:00:00+00:00,546
2020-01-17 00:00:00+00:00,547
2020-01-18 00:00:00+00:00,548
2020-01-22 00:00:00+00:00,549
2020-01-24 00:00:00+00:00,550
2020-01-26 00:00:00+00:00,551
2020-01-27 00:00:00+00:00,552
2020-01-31 00:00:00+00:00,553
2020-02-02 00:00:00+00:00,554
2020-02-05 00:00:00+00:00,555
2020-02-06 00:00:00+00:00,556
2020-02-08 00:00:00+00:00,557
2020-02-11 00:00:00+00:00,558
2020-02-12 00:00:00+00:00,559
2020-02-13 00:00:00+00:00,560
2020-02-17 00:00:00+00:00,562
2020-02-19 00:00:00+00:00,564
2020-02-20 00:00:00+00:00,565
2020-02-22 00:00:00+00:00,566
2020-02-23 00:00:00+00:00,567
2020-02-26 00:00:00+00:00,569
2020-02-27 00:00:00+00:00,570
2020-02-29 00:00:00+00:00,571
2020-03-01 00:00:00+00:00,572
2020-03-02 00:00:00+00:00,574
2020-03-03 00:00:00+00:00,576
2020-03-04 00:00:00+00:00,577
2020-03-05 00:00:00+00:00,578
2020-03-06 00:00:00+00:00,579
2020-03-08 00:00:00+00:00,580
2020-03-09 00:00:00+00:00,581
2020-03-13 00:00:00+00:00,582
2020-03-14 00:00:00+00:00,583
2020-03-15 00:00:00+00:00,584
2020-03-18 00:00:00+00:00,585
2020-03-21 00:00:00+00:00,586
2020-03-22 00:00:00+00:00,588
2020-03-24 00:00:00+00:00,590
2020-03-26 00:00:00+00:00,591
2020-03-27 00:00:00+00:00,592
2020-03-29 00:00:00+00:00,593
2020-03-30 00:00:00+00:00,594
2020-03-31 00:00:00+00:00,595
2020-04-01 00:00:00+00:00,596
2020-04-03 00:00:00+00:00,597
2020-04-04 00:00:00+00:00,598
2020-04-11 00:00:00+00:00,599
2020-04-15 00:00:00+00:00,600
2020-04-16 00:00:00+00:00,602
2020-04-19 00:00:00+00:00,604
2020-04-22 00:00:00+00:00,605
2020-04-23 00:00:00+00:00,607
2020-04-24 00:00:00+00:00,609
2020-04-26 00:00:00+00:00,610
2020-04-27 00:00:00+00:00,612
2020-04-28 00:00:00+00:00,613
