time_iso8601,stars_cumulative
2018-11-13 00:00:00+00:00,1395
2018-11-14 00:00:00+00:00,1399
2018-11-15 00:00:00+00:00,1405
2018-11-16 00:00:00+00:00,1406
2018-11-17 00:00:00+00:00,1408
2018-11-18 00:00:00+00:00,1411
2018-11-19 00:00:00+00:00,1417
2018-11-20 00:00:00+00:00,1422
2018-11-21 00:00:00+00:00,1425
2018-11-22 00:00:00+00:00,1426
2018-11-23 00:00:00+00:00,1433
2018-11-24 00:00:00+00:00,1436
2018-11-25 00:00:00+00:00,1438
2018-11-26 00:00:00+00:00,1442
2018-11-27 00:00:00+00:00,1449
2018-11-28 00:00:00+00:00,1458
2018-11-29 00:00:00+00:00,1467
2018-11-30 00:00:00+00:00,1475
2018-12-01 00:00:00+00:00,1478
2018-12-02 00:00:00+00:00,1481
2018-12-03 00:00:00+00:00,1487
2018-12-04 00:00:00+00:00,1494
2018-12-05 00:00:00+00:00,1500
2018-12-06 00:00:00+00:00,1505
2018-12-07 00:00:00+00:00,1507
2018-12-08 00:00:00+00:00,1509
2018-12-09 00:00:00+00:00,1512
2018-12-10 00:00:00+00:00,1517
2018-12-11 00:00:00+00:00,1523
2018-12-12 00:00:00+00:00,1531
2018-12-13 00:00:00+00:00,1532
2018-12-14 00:00:00+00:00,1539
2018-12-15 00:00:00+00:00,1542
2018-12-16 00:00:00+00:00,1544
2018-12-17 00:00:00+00:00,1546
2018-12-18 00:00:00+00:00,1550
2018-12-19 00:00:00+00:00,1556
2018-12-20 00:00:00+00:00,1562
2018-12-21 00:00:00+00:00,1564
2018-12-22 00:00:00+00:00,1567
2018-12-23 00:00:00+00:00,1573
2018-12-24 00:00:00+00:00,1583
2018-12-25 00:00:00+00:00,1594
2018-12-26 00:00:00+00:00,1595
2018-12-27 00:00:00+00:00,1603
2018-12-28 00:00:00+00:00,1607
2018-12-29 00:00:00+00:00,1611
2018-12-30 00:00:00+00:00,1615
2018-12-31 00:00:00+00:00,1619
2019-01-01 00:00:00+00:00,1622
